result,radiant_win,duration,start_time,game_mode,localized_name,kills,deaths,assists,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
0,1,2442,1653634304,22,Snapfire,1,4,9,all,Ranged,0,0,0,1,1,0,0,1,2
0,0,3810,1653771348,22,Sand King,5,6,33,all,Melee,0,0,0,1,1,1,0,1,6
0,0,570,1653780359,22,Sand King,4,2,1,all,Melee,0,0,0,1,1,1,0,1,6
1,0,1983,1653781275,22,Sand King,8,7,17,all,Melee,0,0,0,1,1,1,0,1,6
1,0,2798,1653784018,22,Sand King,11,5,25,all,Melee,0,0,0,1,1,1,0,1,6
0,0,1990,1653787253,22,Sand King,2,9,7,all,Melee,0,0,0,1,1,1,0,1,6
1,0,3342,1653884709,22,Juggernaut,13,4,14,agi,Melee,1,0,1,0,0,0,0,0,2
1,0,2729,1653888612,22,Phantom Assassin,16,5,18,agi,Melee,1,0,0,0,0,0,0,0,2
1,0,2366,1653891940,22,Kunkka,13,2,18,str,Melee,1,0,0,1,1,1,1,1,2
0,0,2564,1654232044,22,Grimstroke,5,6,13,int,Ranged,0,0,0,1,1,0,0,1,0
1,0,3106,1654235062,22,Kunkka,11,3,20,str,Melee,1,0,0,1,1,1,1,1,2
1,0,2387,1654238846,22,Kunkka,11,5,16,str,Melee,1,0,0,1,1,1,1,1,2
1,1,2372,1654465290,22,Snapfire,18,2,23,all,Ranged,0,0,0,1,1,0,0,1,2
0,0,2203,1654468116,22,Timbersaw,3,6,16,all,Melee,0,0,0,1,0,0,1,0,2
1,1,1950,1654494254,22,Chaos Knight,11,1,10,str,Melee,1,0,1,0,1,1,1,0,2
1,0,2845,1654575938,22,Chaos Knight,16,4,18,str,Melee,1,0,1,0,1,1,1,0,2
1,0,2827,1654579613,22,Phantom Assassin,11,6,14,agi,Melee,1,0,0,0,0,0,0,0,2
1,0,1601,1654583665,22,Juggernaut,5,2,6,agi,Melee,1,0,1,0,0,0,0,0,2
1,0,2637,1654841777,22,Beastmaster,4,6,14,all,Melee,0,0,0,1,1,1,1,0,2
1,0,1865,1654970567,22,Beastmaster,6,1,19,all,Melee,0,0,0,1,1,1,1,0,2
1,1,1937,1654973337,22,Beastmaster,7,1,10,all,Melee,0,0,0,1,1,1,1,0,2
1,0,3021,1654976064,22,Chaos Knight,21,4,19,str,Melee,1,0,1,0,1,1,1,0,2
1,0,2520,1654987400,22,Beastmaster,8,4,20,all,Melee,0,0,0,1,1,1,1,0,2
1,1,2442,1654990516,22,Snapfire,10,6,31,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,3074,1655002670,22,Beastmaster,6,7,19,all,Melee,0,0,0,1,1,1,1,0,2
1,1,2611,1655010998,22,Beastmaster,3,3,18,all,Melee,0,0,0,1,1,1,1,0,2
1,1,2524,1655014125,22,Chaos Knight,19,1,6,str,Melee,1,0,1,0,1,1,1,0,2
1,1,2209,1655017846,22,Juggernaut,11,2,9,agi,Melee,1,0,1,0,0,0,0,0,2
0,0,2500,1655084099,22,Beastmaster,3,10,5,all,Melee,0,0,0,1,1,1,1,0,2
1,0,2442,1655088250,22,Snapfire,4,9,22,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,3157,1655258677,22,Slardar,9,6,18,str,Melee,1,0,0,0,1,1,1,0,0
1,1,2604,1655265074,22,Slardar,5,3,26,str,Melee,1,0,0,0,1,1,1,0,0
1,0,2504,1655268143,22,Drow Ranger,12,4,13,agi,Ranged,1,0,1,0,1,0,0,0,2
1,1,2984,1655271072,22,Lion,6,9,20,int,Ranged,0,0,0,1,1,1,0,1,2
0,1,2939,1655274716,22,Snapfire,1,7,13,all,Ranged,0,0,0,1,1,0,0,1,2
1,0,2273,1655353541,22,Viper,19,3,12,agi,Ranged,1,0,0,0,1,1,1,0,0
1,1,2639,1655436118,22,Kunkka,2,7,12,str,Melee,1,0,0,1,1,1,1,1,2
0,0,2251,1655674281,22,Chaos Knight,5,6,3,str,Melee,1,0,1,0,1,1,1,0,2
1,0,2832,1655677190,22,Dragon Knight,8,7,29,str,Melee,1,0,1,1,1,1,1,0,2
0,1,1631,1655680720,22,Slardar,0,8,9,str,Melee,1,0,0,0,1,1,1,0,0
1,1,2144,1655697328,22,Beastmaster,1,3,27,all,Melee,0,0,0,1,1,1,1,0,2
1,1,5017,1655699828,22,Disruptor,3,9,60,int,Ranged,0,0,0,1,1,1,0,1,2
1,1,2560,1655778915,22,Monkey King,5,4,14,agi,Melee,1,0,0,0,1,1,0,0,2
0,1,2273,1655876157,22,Chaos Knight,10,6,7,str,Melee,1,0,1,0,1,1,1,0,2
1,1,4346,1656474747,22,Slardar,11,7,20,str,Melee,1,0,0,0,1,1,1,0,0
0,0,2304,1656480156,22,Monkey King,4,6,8,agi,Melee,1,0,0,0,1,1,0,0,2
1,0,1697,1656653116,22,Snapfire,4,2,11,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2803,1656655865,22,Winter Wyvern,1,5,20,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2329,1656659384,22,Bane,1,9,11,all,Ranged,0,0,0,1,1,0,1,1,4
1,0,2790,1656728658,22,Snapfire,5,6,21,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2524,1656732753,22,Dragon Knight,6,4,10,str,Melee,1,0,1,1,1,1,1,0,2
0,1,2224,1656736283,22,Monkey King,3,2,3,agi,Melee,1,0,0,0,1,1,0,0,2
0,1,2062,1656818400,22,Winter Wyvern,4,10,11,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2480,1656821029,22,Beastmaster,5,9,19,all,Melee,0,0,0,1,1,1,1,0,2
0,0,1689,1656887543,22,Beastmaster,1,11,4,all,Melee,0,0,0,1,1,1,1,0,2
1,0,3448,1656889975,22,Chaos Knight,17,6,18,str,Melee,1,0,1,0,1,1,1,0,2
0,1,2318,1656899230,22,Night Stalker,8,3,16,str,Melee,1,0,0,1,1,1,1,0,2
0,1,2514,1657075456,22,Windranger,3,8,13,all,Ranged,1,0,0,1,1,0,0,1,2
1,0,2807,1657078411,22,Sand King,7,9,29,all,Melee,0,0,0,1,1,1,0,1,6
0,1,1727,1657170045,22,Warlock,2,7,6,int,Ranged,0,0,0,0,1,1,0,1,2
0,1,1951,1657173673,22,Alchemist,1,5,5,str,Melee,1,0,0,1,1,1,1,1,2
0,1,2670,1657598646,22,Faceless Void,1,4,8,agi,Melee,1,0,0,0,1,1,1,0,2
0,0,2078,1657601912,22,Shadow Shaman,1,7,4,int,Ranged,0,0,1,1,1,1,0,1,2
1,0,2830,1658286613,22,Witch Doctor,8,7,19,int,Ranged,0,0,0,1,1,0,0,1,2
1,0,2543,1658470026,22,Snapfire,6,5,15,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2778,1658473005,22,Snapfire,7,5,12,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,3253,1658532356,22,Snapfire,3,10,20,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2220,1658536132,22,Chaos Knight,8,7,6,str,Melee,1,0,1,0,1,1,1,0,2
0,0,2304,1658538641,22,Morphling,0,8,4,agi,Ranged,1,0,0,1,1,0,1,0,0
0,0,2925,1658543207,22,Monkey King,7,5,8,agi,Melee,1,0,0,0,1,1,0,0,2
0,0,4098,1658635434,22,Snapfire,2,11,37,all,Ranged,0,0,0,1,1,0,0,1,2
1,0,2692,1658640552,22,Snapfire,6,7,19,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2659,1658643942,22,Snapfire,2,7,19,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,3142,1658647699,22,Razor,11,8,11,agi,Ranged,1,0,1,1,0,0,1,0,0
1,0,3387,1658726240,22,Snapfire,8,3,9,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,1576,1658730301,22,Snapfire,3,2,14,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2130,1658883667,22,Viper,4,4,15,agi,Ranged,1,0,0,0,1,1,1,0,0
1,0,2021,1658886436,22,Jakiro,11,5,16,int,Ranged,0,0,1,1,1,0,0,1,2
1,1,2252,1658889176,22,Snapfire,5,3,17,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,1912,1658972797,22,Zeus,13,4,23,int,Ranged,1,0,0,1,0,0,0,0,2
1,1,3677,1658978252,22,Zeus,5,9,30,int,Ranged,1,0,0,1,0,0,0,0,2
0,0,1905,1658982719,22,Zeus,2,6,19,int,Ranged,1,0,0,1,0,0,0,0,2
1,0,2359,1659127367,22,Beastmaster,7,2,10,all,Melee,0,0,0,1,1,1,1,0,2
1,1,1894,1659130531,22,Snapfire,6,2,17,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2178,1659132941,22,Zeus,3,4,18,int,Ranged,1,0,0,1,0,0,0,0,2
0,1,1788,1659137495,22,Jakiro,0,7,9,int,Ranged,0,0,1,1,1,0,0,1,2
0,0,1920,1659142464,22,Winter Wyvern,3,5,4,all,Ranged,0,0,0,1,1,0,0,1,2
0,0,3049,1659327873,22,Bristleback,4,4,20,str,Melee,1,0,0,1,0,1,1,0,2
1,1,3201,1659331625,22,Warlock,3,11,33,int,Ranged,0,0,0,0,1,1,0,1,2
0,1,2277,1659406598,22,Dazzle,1,7,9,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,3852,1659579668,22,Zeus,2,9,20,int,Ranged,1,0,0,1,0,0,0,0,2
0,0,2838,1659584163,22,Warlock,2,6,17,int,Ranged,0,0,0,0,1,1,0,1,2
0,1,2312,1659587528,22,Beastmaster,3,8,10,all,Melee,0,0,0,1,1,1,1,0,2
1,1,2214,1659659561,22,Snapfire,6,3,17,all,Ranged,0,0,0,1,1,0,0,1,2
0,0,3110,1659674760,22,Phantom Lancer,6,4,15,agi,Melee,1,0,1,1,0,0,0,0,2
1,0,2158,1659679081,22,Chaos Knight,3,1,12,str,Melee,1,0,1,0,1,1,1,0,2
1,0,2673,1659682050,22,Death Prophet,7,8,21,int,Ranged,1,0,1,1,1,0,0,0,2
1,0,2945,1659685265,22,Legion Commander,5,5,19,str,Melee,1,0,0,1,1,1,1,0,2
1,1,2066,1659745276,22,Viper,5,3,5,agi,Ranged,1,0,0,0,1,1,1,0,0
0,0,3434,1659747830,22,Viper,3,4,9,agi,Ranged,1,0,0,0,1,1,1,0,0
1,0,2338,1659845094,22,Mars,8,2,21,str,Melee,1,0,0,0,1,1,1,0,2
0,0,3196,1659850493,22,Slardar,10,8,20,str,Melee,1,0,0,0,1,1,1,0,0
1,0,2645,1659854667,22,Razor,6,7,18,agi,Ranged,1,0,1,1,0,0,1,0,0
1,0,2496,1659902441,22,Tidehunter,4,1,8,str,Melee,1,0,0,1,1,1,1,0,2
0,0,2364,1659914625,22,Mars,3,6,9,str,Melee,1,0,0,0,1,1,1,0,2
0,0,1902,1659917574,22,Enchantress,2,5,6,int,Ranged,0,0,1,0,1,0,1,1,4
1,0,3474,1659920323,22,Warlock,1,8,24,int,Ranged,0,0,0,0,1,1,0,1,2
0,1,2492,1660007191,22,Dawnbreaker,3,11,12,str,Melee,1,0,0,0,0,0,1,0,2
0,0,2706,1660020724,22,Snapfire,6,9,13,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,1853,1660024437,22,Snapfire,2,6,5,all,Ranged,0,0,0,1,1,0,0,1,2
